NO;Jenis Prasarana;Nama; Panjang(m);Lebar(m);Kepemilikian; Kondisi Kerusakan
1;Laboratorium Multimedia;135-Ruang Praktek Siswa;12.00;08.00;Milik;Baik
2;Laboratorium Komputer;301-Ruang Praktek Siswa;14.00;08.00;Milik;Baik
3;Kamar Mandi/WC Guru;Ruang Penunjang;02.00;01.00;Milik;Baik
4;Ruang Teori/Kelas;132-Ruang Teori;09.00;08.00;Milik;Baik
5;Ruang Teori/Kelas;126-Ruang Teori;09.00;08.00;Milik;Baik
6;Ruang TU;Ruang Penunjang;08.00;06.00;Milik;Baik
7;Laboratorium Hotel;125-Ruang Praktek Siswa;09.00;08.00;Milik;Baik
8;Gudang;404-Ruang Penunjang;07.00;04.00;Milik;Baik
9;Kamar Mandi/WC Guru;Ruang Penunjang;02.00;01.00;Milik;Baik
10;Laboratorium Komputer;302-Ruang Praktek Siswa;08.00;07.00;Milik;Baik
